Indication (ICD-10)	Indication name	Drug (RxNorm)	Drug name	Outcome (ICD-10)	Outcome name	Average ACME	P-value	Proportion mediated	Cohort
C91.00	Acute lymphoblastic leukemia NOS	1304991	vincristine liposome	D70	Neutropenia	0.04148	2e-16	0.34296	MIMIC-IV
K92.9	Disease of digestive system, unspecified	4832	glucagon	N08	Nephritis	0.04	2e-16	-0.4791	MIMIC-IV
I21	cardiac infarction	5224	heparin	J81	Pulmonary edema	0.03699	2e-16	-6.62812	MIMIC-IV
I21	cardiac infarction	6387	lidocaine	J81	Pulmonary edema	0.0366	2e-16	-0.5599	MIMIC-IV
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	D64.9	Anemia, unspecified	0.03557	2e-16	-0.22243	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	D64.9	Anemia, unspecified	0.03557	2e-16	-0.22243	UKB
M10	Gout	5640	ibuprofen	I21	cardiac infarction	0.03483	2e-16	-0.29684	UKB
M10	Gout	5640	ibuprofen	G56.0	Carpal tunnel syndrome	0.03328	2e-16	-0.31796	UKB
I63	Cerebral infarction	5224	heparin	J81	Pulmonary edema	0.03053	2e-16	1.95611	MIMIC-IV
M06.9	Rheumatoid arthritis, unspecified	5640	ibuprofen	G56.0	Carpal tunnel syndrome	0.03049	2e-16	-0.31546	UKB
L30.9	Eczema NOS	802755	liver stomach concentrate	J45	Asthma	0.03016	2e-16	-0.09882	UKB
L30.9	Eczema NOS	2669	cod liver oil	J45	Asthma	0.03016	2e-16	-0.09882	UKB
L30.9	Eczema NOS	900025	atlantic cod allergenic extract	J45	Asthma	0.03016	2e-16	-0.09882	UKB
L30.9	Eczema NOS	91472	shark liver oil	J45	Asthma	0.03016	2e-16	-0.09882	UKB
L30.9	Eczema NOS	6459	liver extract	J45	Asthma	0.03016	2e-16	-0.09882	UKB
M45	Ankylosing spondylitis	5640	ibuprofen	M54.5	Low back pain	0.02854	2e-16	-0.30202	UKB
N04	lipoid nephrosis	1369	bendroflumethiazide	N18.9	Chronic uremia NOS	0.0274	2e-16	-1.1361	UKB
N04	lipoid nephrosis	214288	Bendroflumethiazide / Nadolol	N18.9	Chronic uremia NOS	0.0274	2e-16	-1.1361	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	E87	Other disorders of fluid, electrolyte and acid-base balance	0.02737	2e-16	-0.20592	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	E87	Other disorders of fluid, electrolyte and acid-base balance	0.02737	2e-16	-0.20592	UKB
N08	Nephritis	35296	ramipril	N18	Chronic renal failure	0.0273	2e-16	-0.3407	UKB
I21	cardiac infarction	7646	omeprazole	I51.7	Cardiomegaly	0.026822	2e-16	-0.410023	UKB
N28.9	Nephropathy NOS	1009219	aliskiren / Amlodipine	D64.9	Anemia, unspecified	0.02643	2e-16	-0.13005	UKB
N28.9	Nephropathy NOS	17767	amlodipine	D64.9	Anemia, unspecified	0.02643	2e-16	-0.13005	UKB
I21	cardiac infarction	7646	omeprazole	N17.9	Acute renal failure, unspecified	0.02635	2e-16	-0.2	UKB
I22	cardiac infarction	7646	omeprazole	I50.1	Cardiac asthma	0.02538	2e-16	-1.04863	UKB
N28.9	Nephropathy NOS	83367	atorvastatin	D64.9	Anemia, unspecified	0.02519	2e-16	-0.11861	UKB
N04	lipoid nephrosis	1369	bendroflumethiazide	N17.9	Acute renal failure, unspecified	0.025	2e-16	-0.2596	UKB
N04	lipoid nephrosis	214288	Bendroflumethiazide / Nadolol	N17.9	Acute renal failure, unspecified	0.025	2e-16	-0.2596	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	E86	Volume depletion	0.02476	2e-16	-0.32478	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	E86	Volume depletion	0.02476	2e-16	-0.32478	UKB
E78.5	Hyperlipidemia, unspecified	36567	simvastatin	E83	Disorders of mineral metabolism	0.02465	2e-16	-0.39209	UKB
E78.5	Hyperlipidemia, unspecified	803516	Niacin / Simvastatin	E83	Disorders of mineral metabolism	0.02465	2e-16	-0.39209	UKB
I21	cardiac infarction	36567	simvastatin	N17.9	Acute renal failure, unspecified	0.02434	2e-16	-0.22332	UKB
I21	cardiac infarction	803516	Niacin / Simvastatin	N17.9	Acute renal failure, unspecified	0.02434	2e-16	-0.22332	UKB
N19	Uremia NOS	6581	magnesium hydroxide	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	52358	magnesium gluconate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	1426853	magnesium cation	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	6582	magnesium oxide	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	52356	magnesium citrate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	283578	magnesium malate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	6585	magnesium sulfate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	214688	magnesium lactate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	142131	magnesium aspartate	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
N19	Uremia NOS	215976	magnesium, chelated	J81	Pulmonary edema	0.0241	2e-16	-0.1606	MIMIC-IV
